"","tissue","FV","f_water","f_n_l","f_pl","pH"
"1","Adipose",0.0761,0.12,0.853,0.002,7.1
"2","Bone",0.041476,0.446,0.0273,0.0027,7
"3","Brain",0.0057,0.788,0.0392,0.0533,7.1
"4","Gut",0.027,0.749,0.0292,0.0138,7
"5","Heart",0.0033,0.779,0.014,0.0118,7.1
"6","Kidney",0.0073,0.771,0.0123,0.0281,7.22
"7","Liver",0.0366,0.705,0.0138,0.0303,7.23
"8","Lung",0.005,0.79,0.0219,0.014,6.6
"9","Muscle",0.404,0.756,0.01,0.009,6.81
"10","Spleen",0.002,0.771,0.0077,0.0136,7
"11","Plasma",0.0449,0.96,0.00147,0.00083,7.4
"12","Skin",0.19,0.651,0.0239,0.018,7