tissue,f_water,f_water_cv,f_lipids,f_lipids_cv,f_proteins,f_proteins_cv,f_pl,f_n_l,f_n_l_cv,f_n_pl,f_n_pl_cv,f_a_pl,f_a_pl_cv,pH,pH_cv,f_ew,f_iw,AR,LR
Adipose,0.152,1,0.8,12,0.05,6,0.002,0.798,17,0.0478,18,0.0067,18,7.1,11,1.35,0.017,0.049,0.069
Bone,0.446,1,0.268,12,0.268,6,0.0011,0.074,17,0.0016,18,8E-04,18,7,11,0.1,0.346,0.1,0.05
Brain,0.782,1,0.107,12,0.08,6,0.0565,0.045,17,0.0553,18,0.02022,18,7.1,11,0.162,0.62,0.048,0.041
Heart,0.776,1,0.1,12,0.17,6,0.0166,0.089,17,0.0079,18,0.00309,18,7.1,11,0.32,0.456,0.157,0.16
Kidney,0.756,1,0.052,12,0.17,6,0.0162,0.036,17,0.0166,18,0.00387,18,7.22,11,0.273,0.483,0.13,0.137
Gut,0.757,1,0.062,12,0.133,6,0.0163,0.0487,17,0.0124,18,3.5E-03,18,7.4,11,0.282,0.475,0.158,0.141
Liver,0.734,1,0.067,12,0.18,6,0.0252,0.037,17,0.0115,18,0.00258,18,7.23,11,0.161,0.573,0.086,0.161
Lung,0.782,1,0.01,12,0.18,6,0.009,0.003,17,0.0056,18,0.0014,18,6.6,11,0.336,0.446,0.212,0.168
Muscle,0.748,1,0.019,12,0.17,6,0.0072,0.013,17,0.0092,18,0.0019,18,6.81,11,0.118,0.63,0.064,0.059
Skin,0.673,1,0.1,12,0.29,6,0.0111,0.036,17,0.0502,18,0.01382,18,7,11,0.382,0.291,0.277,0.096
Spleen,0.786,1,0.028,12,0.19,6,0.0198,0.014,17,0.0103,18,0.00191,18,7,11,0.207,0.579,0.097,0.207
RBCs,0.663,9,0.005,3,0.33,2,NA,0.002,13,0.0025,7,0.0005,13,7.2,11,NA,0.603,NA,NA
Plasma,0.928,1,0.009,13,0.07,3,0.00225,0.003,13,0.005,2,0.00097,2,7.3,11,NA,NA,NA,NA